,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
92,0 days 01:32:45.356000,27.4,19.0,1010.1,False,35.2,261,3.0
94,0 days 01:34:45.371000,27.4,18.0,1010.1,False,35.6,242,3.3
96,0 days 01:36:45.379000,27.4,19.0,1010.1,False,35.6,247,2.3
97,0 days 01:37:45.360000,27.4,19.0,1010.0,False,35.6,246,2.5
99,0 days 01:39:45.381000,27.4,19.0,1010.1,False,35.4,260,2.0
101,0 days 01:41:45.402000,27.5,19.0,1010.1,False,35.0,247,3.1
102,0 days 01:42:45.406000,27.5,19.0,1010.1,False,34.7,248,3.6
104,0 days 01:44:45.445000,27.1,19.0,1010.2,False,34.3,241,3.2
105,0 days 01:45:45.414000,27.1,19.0,1010.2,False,34.1,246,3.2
107,0 days 01:47:45.442000,26.9,20.0,1010.2,False,33.8,256,2.2
109,0 days 01:49:45.460000,26.9,20.0,1010.1,False,33.7,245,2.0
110,0 days 01:50:45.456000,27.0,20.0,1010.1,False,33.5,258,3.2
112,0 days 01:52:45.461000,26.8,20.0,1010.1,False,33.2,269,2.8
114,0 days 01:54:45.522000,26.8,20.0,1010.1,False,33.1,246,2.5
115,0 days 01:55:45.481000,26.8,20.0,1010.1,False,33.0,261,1.8
117,0 days 01:57:45.499000,26.8,20.0,1010.2,False,32.9,249,2.9
119,0 days 01:59:45.510000,26.8,20.0,1010.1,False,32.8,261,2.1
120,0 days 02:00:45.491000,26.8,21.0,1010.2,False,32.7,256,1.2
122,0 days 02:02:45.513000,26.8,20.0,1010.1,False,32.6,279,1.3
123,0 days 02:03:45.516000,26.8,21.0,1010.1,False,32.5,266,1.6
125,0 days 02:05:45.525000,26.8,21.0,1010.2,False,32.3,258,1.2
127,0 days 02:07:45.524000,26.8,21.0,1010.1,False,32.2,277,0.9
128,0 days 02:08:45.534000,26.7,21.0,1010.1,False,32.1,212,1.5
130,0 days 02:10:45.535000,26.7,20.0,1010.1,False,32.1,264,2.3
132,0 days 02:12:45.542000,26.6,21.0,1010.1,False,31.9,233,2.2
133,0 days 02:13:45.559000,26.6,21.0,1010.1,False,31.8,237,2.5
135,0 days 02:15:45.570000,26.5,21.0,1010.1,False,31.7,254,2.1
136,0 days 02:16:45.573000,26.5,21.0,1010.2,False,31.7,265,1.7
138,0 days 02:18:45.597000,26.6,21.0,1010.2,False,31.6,269,1.0
140,0 days 02:20:45.602000,26.6,21.0,1010.1,False,31.5,44,0.7
141,0 days 02:21:45.623000,26.6,21.0,1010.0,False,31.4,256,1.3
143,0 days 02:23:45.628000,26.5,21.0,1010.1,False,31.3,254,1.0
145,0 days 02:25:45.652000,26.5,21.0,1010.2,False,31.2,265,1.2
146,0 days 02:26:45.651000,26.6,21.0,1010.1,False,31.2,221,1.9
148,0 days 02:28:45.651000,26.5,21.0,1010.2,False,30.8,259,1.5
149,0 days 02:29:45.651000,26.5,21.0,1010.3,False,30.7,219,2.6
59,0 days 00:59:45.130000,27.3,18.0,1010.4,False,35.8,249,1.8
61,0 days 01:01:45.117000,27.4,18.0,1010.4,False,35.6,233,2.7
63,0 days 01:03:45.121000,27.3,18.0,1010.4,False,35.1,259,3.0
64,0 days 01:04:45.134000,27.3,18.0,1010.4,False,35.0,258,3.0
66,0 days 01:06:45.188000,27.3,18.0,1010.3,False,34.9,238,2.0
68,0 days 01:08:45.209000,27.3,18.0,1010.3,False,35.0,252,1.8
69,0 days 01:09:45.219000,27.3,18.0,1010.2,False,35.0,207,1.2
71,0 days 01:11:45.244000,27.4,18.0,1010.3,False,35.4,248,1.0
73,0 days 01:13:45.245000,27.5,18.0,1010.3,False,35.3,216,2.3
74,0 days 01:14:45.262000,27.5,18.0,1010.2,False,35.3,252,2.2
76,0 days 01:16:45.263000,27.5,18.0,1010.3,False,35.0,237,1.9
78,0 days 01:18:45.265000,27.6,18.0,1010.2,False,34.5,248,1.9
79,0 days 01:19:45.264000,27.5,18.0,1010.2,False,34.4,239,2.3
81,0 days 01:21:45.267000,27.4,18.0,1010.2,False,34.2,245,2.8
83,0 days 01:23:45.274000,27.2,18.0,1010.2,False,34.0,245,3.1
84,0 days 01:24:45.295000,27.2,18.0,1010.1,False,33.9,234,2.3
86,0 days 01:26:45.324000,27.2,18.0,1010.1,False,34.6,248,2.0
88,0 days 01:28:45.348000,27.3,18.0,1010.1,False,34.8,250,2.5
89,0 days 01:29:45.351000,27.3,19.0,1010.1,False,34.8,188,1.2
91,0 days 01:31:45.367000,27.4,18.0,1010.1,False,35.0,256,2.3
93,0 days 01:33:45.370000,27.4,18.0,1010.1,False,35.3,237,4.3
94,0 days 01:34:45.371000,27.4,18.0,1010.1,False,35.6,242,3.3
96,0 days 01:36:45.379000,27.4,19.0,1010.1,False,35.6,247,2.3
98,0 days 01:38:45.360000,27.4,19.0,1010.1,False,35.6,263,1.8
99,0 days 01:39:45.381000,27.4,19.0,1010.1,False,35.4,260,2.0
101,0 days 01:41:45.402000,27.5,19.0,1010.1,False,35.0,247,3.1
103,0 days 01:43:45.391000,27.3,19.0,1010.1,False,34.4,243,3.2
105,0 days 01:45:45.414000,27.1,19.0,1010.2,False,34.1,246,3.2
106,0 days 01:46:45.458000,27.0,19.0,1010.2,False,33.9,250,2.9
108,0 days 01:48:45.452000,26.9,20.0,1010.2,False,33.7,232,2.5
109,0 days 01:49:45.460000,26.9,20.0,1010.1,False,33.7,245,2.0
111,0 days 01:51:45.457000,26.9,20.0,1010.2,False,33.3,254,3.5
113,0 days 01:53:45.456000,26.8,20.0,1010.1,False,33.2,264,2.4
114,0 days 01:54:45.522000,26.8,20.0,1010.1,False,33.1,246,2.5
116,0 days 01:56:45.485000,26.8,20.0,1010.2,False,33.0,239,1.6
117,0 days 01:57:45.499000,26.8,20.0,1010.2,False,32.9,249,2.9
119,0 days 01:59:45.510000,26.8,20.0,1010.1,False,32.8,261,2.1
121,0 days 02:01:45.509000,26.8,20.0,1010.2,False,32.7,267,2.6
122,0 days 02:02:45.513000,26.8,20.0,1010.1,False,32.6,279,1.3
124,0 days 02:04:45.513000,26.8,21.0,1010.1,False,32.4,269,1.3
125,0 days 02:05:45.525000,26.8,21.0,1010.2,False,32.3,258,1.2
127,0 days 02:07:45.524000,26.8,21.0,1010.1,False,32.2,277,0.9
129,0 days 02:09:45.541000,26.7,21.0,1010.1,False,32.1,255,1.2
130,0 days 02:10:45.535000,26.7,20.0,1010.1,False,32.1,264,2.3
132,0 days 02:12:45.542000,26.6,21.0,1010.1,False,31.9,233,2.2
134,0 days 02:14:45.573000,26.5,21.0,1010.1,False,31.7,271,2.1
135,0 days 02:15:45.570000,26.5,21.0,1010.1,False,31.7,254,2.1
137,0 days 02:17:45.574000,26.6,21.0,1010.2,False,31.6,0,1.1
138,0 days 02:18:45.597000,26.6,21.0,1010.2,False,31.6,269,1.0
140,0 days 02:20:45.602000,26.6,21.0,1010.1,False,31.5,44,0.7
142,0 days 02:22:45.619000,26.6,21.0,1010.0,False,31.3,224,1.5
143,0 days 02:23:45.628000,26.5,21.0,1010.1,False,31.3,254,1.0
145,0 days 02:25:45.652000,26.5,21.0,1010.2,False,31.2,265,1.2
147,0 days 02:27:45.664000,26.5,21.0,1010.2,False,31.0,245,1.8
148,0 days 02:28:45.651000,26.5,21.0,1010.2,False,30.8,259,1.5
59,0 days 00:59:45.130000,27.3,18.0,1010.4,False,35.8,249,1.8
61,0 days 01:01:45.117000,27.4,18.0,1010.4,False,35.6,233,2.7
62,0 days 01:02:45.128000,27.4,18.0,1010.4,False,35.5,254,2.9
64,0 days 01:04:45.134000,27.3,18.0,1010.4,False,35.0,258,3.0
66,0 days 01:06:45.188000,27.3,18.0,1010.3,False,34.9,238,2.0
67,0 days 01:07:45.191000,27.3,18.0,1010.3,False,34.9,0,2.4
69,0 days 01:09:45.219000,27.3,18.0,1010.2,False,35.0,207,1.2
71,0 days 01:11:45.244000,27.4,18.0,1010.3,False,35.4,248,1.0
72,0 days 01:12:45.243000,27.5,17.0,1010.3,False,35.4,244,2.8
74,0 days 01:14:45.262000,27.5,18.0,1010.2,False,35.3,252,2.2
76,0 days 01:16:45.263000,27.5,18.0,1010.3,False,35.0,237,1.9
77,0 days 01:17:45.259000,27.6,17.0,1010.2,False,34.6,252,2.7
79,0 days 01:19:45.264000,27.5,18.0,1010.2,False,34.4,239,2.3
81,0 days 01:21:45.267000,27.4,18.0,1010.2,False,34.2,245,2.8
82,0 days 01:22:45.265000,27.3,18.0,1010.2,False,34.1,254,2.8
84,0 days 01:24:45.295000,27.2,18.0,1010.1,False,33.9,234,2.3
86,0 days 01:26:45.324000,27.2,18.0,1010.1,False,34.6,248,2.0
87,0 days 01:27:45.326000,27.2,18.0,1010.1,False,34.7,229,1.6
89,0 days 01:29:45.351000,27.3,19.0,1010.1,False,34.8,188,1.2
91,0 days 01:31:45.367000,27.4,18.0,1010.1,False,35.0,256,2.3
92,0 days 01:32:45.356000,27.4,19.0,1010.1,False,35.2,261,3.0
94,0 days 01:34:45.371000,27.4,18.0,1010.1,False,35.6,242,3.3
96,0 days 01:36:45.379000,27.4,19.0,1010.1,False,35.6,247,2.3
98,0 days 01:38:45.360000,27.4,19.0,1010.1,False,35.6,263,1.8
99,0 days 01:39:45.381000,27.4,19.0,1010.1,False,35.4,260,2.0
101,0 days 01:41:45.402000,27.5,19.0,1010.1,False,35.0,247,3.1
103,0 days 01:43:45.391000,27.3,19.0,1010.1,False,34.4,243,3.2
104,0 days 01:44:45.445000,27.1,19.0,1010.2,False,34.3,241,3.2
106,0 days 01:46:45.458000,27.0,19.0,1010.2,False,33.9,250,2.9
107,0 days 01:47:45.442000,26.9,20.0,1010.2,False,33.8,256,2.2
109,0 days 01:49:45.460000,26.9,20.0,1010.1,False,33.7,245,2.0
111,0 days 01:51:45.457000,26.9,20.0,1010.2,False,33.3,254,3.5
112,0 days 01:52:45.461000,26.8,20.0,1010.1,False,33.2,269,2.8
114,0 days 01:54:45.522000,26.8,20.0,1010.1,False,33.1,246,2.5
116,0 days 01:56:45.485000,26.8,20.0,1010.2,False,33.0,239,1.6
117,0 days 01:57:45.499000,26.8,20.0,1010.2,False,32.9,249,2.9
119,0 days 01:59:45.510000,26.8,20.0,1010.1,False,32.8,261,2.1
121,0 days 02:01:45.509000,26.8,20.0,1010.2,False,32.7,267,2.6
122,0 days 02:02:45.513000,26.8,20.0,1010.1,False,32.6,279,1.3
124,0 days 02:04:45.513000,26.8,21.0,1010.1,False,32.4,269,1.3
125,0 days 02:05:45.525000,26.8,21.0,1010.2,False,32.3,258,1.2
127,0 days 02:07:45.524000,26.8,21.0,1010.1,False,32.2,277,0.9
129,0 days 02:09:45.541000,26.7,21.0,1010.1,False,32.1,255,1.2
130,0 days 02:10:45.535000,26.7,20.0,1010.1,False,32.1,264,2.3
132,0 days 02:12:45.542000,26.6,21.0,1010.1,False,31.9,233,2.2
134,0 days 02:14:45.573000,26.5,21.0,1010.1,False,31.7,271,2.1
135,0 days 02:15:45.570000,26.5,21.0,1010.1,False,31.7,254,2.1
137,0 days 02:17:45.574000,26.6,21.0,1010.2,False,31.6,0,1.1
139,0 days 02:19:45.598000,26.5,21.0,1010.2,False,31.6,0,0.9
140,0 days 02:20:45.602000,26.6,21.0,1010.1,False,31.5,44,0.7
142,0 days 02:22:45.619000,26.6,21.0,1010.0,False,31.3,224,1.5
143,0 days 02:23:45.628000,26.5,21.0,1010.1,False,31.3,254,1.0
145,0 days 02:25:45.652000,26.5,21.0,1010.2,False,31.2,265,1.2
147,0 days 02:27:45.664000,26.5,21.0,1010.2,False,31.0,245,1.8
148,0 days 02:28:45.651000,26.5,21.0,1010.2,False,30.8,259,1.5
59,0 days 00:59:45.130000,27.3,18.0,1010.4,False,35.8,249,1.8
61,0 days 01:01:45.117000,27.4,18.0,1010.4,False,35.6,233,2.7
62,0 days 01:02:45.128000,27.4,18.0,1010.4,False,35.5,254,2.9
64,0 days 01:04:45.134000,27.3,18.0,1010.4,False,35.0,258,3.0
65,0 days 01:05:45.159000,27.4,18.0,1010.3,False,35.0,243,3.0
67,0 days 01:07:45.191000,27.3,18.0,1010.3,False,34.9,0,2.4
69,0 days 01:09:45.219000,27.3,18.0,1010.2,False,35.0,207,1.2
70,0 days 01:10:45.225000,27.4,18.0,1010.2,False,35.3,257,2.1
72,0 days 01:12:45.243000,27.5,17.0,1010.3,False,35.4,244,2.8
74,0 days 01:14:45.262000,27.5,18.0,1010.2,False,35.3,252,2.2
75,0 days 01:15:45.264000,27.5,17.0,1010.3,False,35.0,179,3.2
77,0 days 01:17:45.259000,27.6,17.0,1010.2,False,34.6,252,2.7
79,0 days 01:19:45.264000,27.5,18.0,1010.2,False,34.4,239,2.3
81,0 days 01:21:45.267000,27.4,18.0,1010.2,False,34.2,245,2.8
82,0 days 01:22:45.265000,27.3,18.0,1010.2,False,34.1,254,2.8
84,0 days 01:24:45.295000,27.2,18.0,1010.1,False,33.9,234,2.3
86,0 days 01:26:45.324000,27.2,18.0,1010.1,False,34.6,248,2.0
87,0 days 01:27:45.326000,27.2,18.0,1010.1,False,34.7,229,1.6
89,0 days 01:29:45.351000,27.3,19.0,1010.1,False,34.8,188,1.2
91,0 days 01:31:45.367000,27.4,18.0,1010.1,False,35.0,256,2.3
92,0 days 01:32:45.356000,27.4,19.0,1010.1,False,35.2,261,3.0
94,0 days 01:34:45.371000,27.4,18.0,1010.1,False,35.6,242,3.3
95,0 days 01:35:45.372000,27.4,18.0,1010.1,False,35.6,243,2.8
97,0 days 01:37:45.360000,27.4,19.0,1010.0,False,35.6,246,2.5
99,0 days 01:39:45.381000,27.4,19.0,1010.1,False,35.4,260,2.0
100,0 days 01:40:45.401000,27.4,19.0,1010.1,False,35.3,257,2.8
102,0 days 01:42:45.406000,27.5,19.0,1010.1,False,34.7,248,3.6
104,0 days 01:44:45.445000,27.1,19.0,1010.2,False,34.3,241,3.2
105,0 days 01:45:45.414000,27.1,19.0,1010.2,False,34.1,246,3.2
107,0 days 01:47:45.442000,26.9,20.0,1010.2,False,33.8,256,2.2
108,0 days 01:48:45.452000,26.9,20.0,1010.2,False,33.7,232,2.5
110,0 days 01:50:45.456000,27.0,20.0,1010.1,False,33.5,258,3.2
112,0 days 01:52:45.461000,26.8,20.0,1010.1,False,33.2,269,2.8
113,0 days 01:53:45.456000,26.8,20.0,1010.1,False,33.2,264,2.4
115,0 days 01:55:45.481000,26.8,20.0,1010.1,False,33.0,261,1.8
117,0 days 01:57:45.499000,26.8,20.0,1010.2,False,32.9,249,2.9
119,0 days 01:59:45.510000,26.8,20.0,1010.1,False,32.8,261,2.1
120,0 days 02:00:45.491000,26.8,21.0,1010.2,False,32.7,256,1.2
122,0 days 02:02:45.513000,26.8,20.0,1010.1,False,32.6,279,1.3
123,0 days 02:03:45.516000,26.8,21.0,1010.1,False,32.5,266,1.6
125,0 days 02:05:45.525000,26.8,21.0,1010.2,False,32.3,258,1.2
127,0 days 02:07:45.524000,26.8,21.0,1010.1,False,32.2,277,0.9
128,0 days 02:08:45.534000,26.7,21.0,1010.1,False,32.1,212,1.5
130,0 days 02:10:45.535000,26.7,20.0,1010.1,False,32.1,264,2.3
132,0 days 02:12:45.542000,26.6,21.0,1010.1,False,31.9,233,2.2
133,0 days 02:13:45.559000,26.6,21.0,1010.1,False,31.8,237,2.5
135,0 days 02:15:45.570000,26.5,21.0,1010.1,False,31.7,254,2.1
137,0 days 02:17:45.574000,26.6,21.0,1010.2,False,31.6,0,1.1
139,0 days 02:19:45.598000,26.5,21.0,1010.2,False,31.6,0,0.9
140,0 days 02:20:45.602000,26.6,21.0,1010.1,False,31.5,44,0.7
142,0 days 02:22:45.619000,26.6,21.0,1010.0,False,31.3,224,1.5
144,0 days 02:24:45.650000,26.5,21.0,1010.1,False,31.2,247,0.6
145,0 days 02:25:45.652000,26.5,21.0,1010.2,False,31.2,265,1.2
147,0 days 02:27:45.664000,26.5,21.0,1010.2,False,31.0,245,1.8
148,0 days 02:28:45.651000,26.5,21.0,1010.2,False,30.8,259,1.5
59,0 days 00:59:45.130000,27.3,18.0,1010.4,False,35.8,249,1.8
61,0 days 01:01:45.117000,27.4,18.0,1010.4,False,35.6,233,2.7
62,0 days 01:02:45.128000,27.4,18.0,1010.4,False,35.5,254,2.9
64,0 days 01:04:45.134000,27.3,18.0,1010.4,False,35.0,258,3.0
59,0 days 00:59:45.130000,27.3,18.0,1010.4,False,35.8,249,1.8
60,0 days 01:00:45.122000,27.3,18.0,1010.4,False,35.6,264,2.2
62,0 days 01:02:45.128000,27.4,18.0,1010.4,False,35.5,254,2.9
64,0 days 01:04:45.134000,27.3,18.0,1010.4,False,35.0,258,3.0
65,0 days 01:05:45.159000,27.4,18.0,1010.3,False,35.0,243,3.0
67,0 days 01:07:45.191000,27.3,18.0,1010.3,False,34.9,0,2.4
69,0 days 01:09:45.219000,27.3,18.0,1010.2,False,35.0,207,1.2
70,0 days 01:10:45.225000,27.4,18.0,1010.2,False,35.3,257,2.1
72,0 days 01:12:45.243000,27.5,17.0,1010.3,False,35.4,244,2.8
74,0 days 01:14:45.262000,27.5,18.0,1010.2,False,35.3,252,2.2
75,0 days 01:15:45.264000,27.5,17.0,1010.3,False,35.0,179,3.2
77,0 days 01:17:45.259000,27.6,17.0,1010.2,False,34.6,252,2.7
79,0 days 01:19:45.264000,27.5,18.0,1010.2,False,34.4,239,2.3
80,0 days 01:20:45.266000,27.4,18.0,1010.2,False,34.4,253,3.0
82,0 days 01:22:45.265000,27.3,18.0,1010.2,False,34.1,254,2.8
84,0 days 01:24:45.295000,27.2,18.0,1010.1,False,33.9,234,2.3
85,0 days 01:25:45.313000,27.1,18.0,1010.2,False,33.9,247,2.0
87,0 days 01:27:45.326000,27.2,18.0,1010.1,False,34.7,229,1.6
89,0 days 01:29:45.351000,27.3,19.0,1010.1,False,34.8,188,1.2
90,0 days 01:30:45.351000,27.3,19.0,1010.2,False,34.8,246,2.1
92,0 days 01:32:45.356000,27.4,19.0,1010.1,False,35.2,261,3.0
94,0 days 01:34:45.371000,27.4,18.0,1010.1,False,35.6,242,3.3
95,0 days 01:35:45.372000,27.4,18.0,1010.1,False,35.6,243,2.8
97,0 days 01:37:45.360000,27.4,19.0,1010.0,False,35.6,246,2.5
98,0 days 01:38:45.360000,27.4,19.0,1010.1,False,35.6,263,1.8
100,0 days 01:40:45.401000,27.4,19.0,1010.1,False,35.3,257,2.8
102,0 days 01:42:45.406000,27.5,19.0,1010.1,False,34.7,248,3.6
103,0 days 01:43:45.391000,27.3,19.0,1010.1,False,34.4,243,3.2
105,0 days 01:45:45.414000,27.1,19.0,1010.2,False,34.1,246,3.2
107,0 days 01:47:45.442000,26.9,20.0,1010.2,False,33.8,256,2.2
108,0 days 01:48:45.452000,26.9,20.0,1010.2,False,33.7,232,2.5
110,0 days 01:50:45.456000,27.0,20.0,1010.1,False,33.5,258,3.2
111,0 days 01:51:45.457000,26.9,20.0,1010.2,False,33.3,254,3.5
113,0 days 01:53:45.456000,26.8,20.0,1010.1,False,33.2,264,2.4
115,0 days 01:55:45.481000,26.8,20.0,1010.1,False,33.0,261,1.8
116,0 days 01:56:45.485000,26.8,20.0,1010.2,False,33.0,239,1.6
118,0 days 01:58:45.503000,26.8,20.0,1010.1,False,32.9,268,2.6
119,0 days 01:59:45.510000,26.8,20.0,1010.1,False,32.8,261,2.1
121,0 days 02:01:45.509000,26.8,20.0,1010.2,False,32.7,267,2.6
123,0 days 02:03:45.516000,26.8,21.0,1010.1,False,32.5,266,1.6
124,0 days 02:04:45.513000,26.8,21.0,1010.1,False,32.4,269,1.3
126,0 days 02:06:45.526000,26.8,20.0,1010.2,False,32.2,201,1.1
128,0 days 02:08:45.534000,26.7,21.0,1010.1,False,32.1,212,1.5
129,0 days 02:09:45.541000,26.7,21.0,1010.1,False,32.1,255,1.2
131,0 days 02:11:45.525000,26.6,20.0,1010.1,False,32.0,267,2.1
132,0 days 02:12:45.542000,26.6,21.0,1010.1,False,31.9,233,2.2
134,0 days 02:14:45.573000,26.5,21.0,1010.1,False,31.7,271,2.1
136,0 days 02:16:45.573000,26.5,21.0,1010.2,False,31.7,265,1.7
137,0 days 02:17:45.574000,26.6,21.0,1010.2,False,31.6,0,1.1
139,0 days 02:19:45.598000,26.5,21.0,1010.2,False,31.6,0,0.9
140,0 days 02:20:45.602000,26.6,21.0,1010.1,False,31.5,44,0.7
142,0 days 02:22:45.619000,26.6,21.0,1010.0,False,31.3,224,1.5
144,0 days 02:24:45.650000,26.5,21.0,1010.1,False,31.2,247,0.6
145,0 days 02:25:45.652000,26.5,21.0,1010.2,False,31.2,265,1.2
147,0 days 02:27:45.664000,26.5,21.0,1010.2,False,31.0,245,1.8
148,0 days 02:28:45.651000,26.5,21.0,1010.2,False,30.8,259,1.5
59,0 days 00:59:45.130000,27.3,18.0,1010.4,False,35.8,249,1.8
60,0 days 01:00:45.122000,27.3,18.0,1010.4,False,35.6,264,2.2
62,0 days 01:02:45.128000,27.4,18.0,1010.4,False,35.5,254,2.9
64,0 days 01:04:45.134000,27.3,18.0,1010.4,False,35.0,258,3.0
65,0 days 01:05:45.159000,27.4,18.0,1010.3,False,35.0,243,3.0
67,0 days 01:07:45.191000,27.3,18.0,1010.3,False,34.9,0,2.4
69,0 days 01:09:45.219000,27.3,18.0,1010.2,False,35.0,207,1.2
70,0 days 01:10:45.225000,27.4,18.0,1010.2,False,35.3,257,2.1
72,0 days 01:12:45.243000,27.5,17.0,1010.3,False,35.4,244,2.8
74,0 days 01:14:45.262000,27.5,18.0,1010.2,False,35.3,252,2.2
75,0 days 01:15:45.264000,27.5,17.0,1010.3,False,35.0,179,3.2
77,0 days 01:17:45.259000,27.6,17.0,1010.2,False,34.6,252,2.7
79,0 days 01:19:45.264000,27.5,18.0,1010.2,False,34.4,239,2.3
80,0 days 01:20:45.266000,27.4,18.0,1010.2,False,34.4,253,3.0
82,0 days 01:22:45.265000,27.3,18.0,1010.2,False,34.1,254,2.8
84,0 days 01:24:45.295000,27.2,18.0,1010.1,False,33.9,234,2.3
85,0 days 01:25:45.313000,27.1,18.0,1010.2,False,33.9,247,2.0
87,0 days 01:27:45.326000,27.2,18.0,1010.1,False,34.7,229,1.6
89,0 days 01:29:45.351000,27.3,19.0,1010.1,False,34.8,188,1.2
90,0 days 01:30:45.351000,27.3,19.0,1010.2,False,34.8,246,2.1
92,0 days 01:32:45.356000,27.4,19.0,1010.1,False,35.2,261,3.0
94,0 days 01:34:45.371000,27.4,18.0,1010.1,False,35.6,242,3.3
95,0 days 01:35:45.372000,27.4,18.0,1010.1,False,35.6,243,2.8
97,0 days 01:37:45.360000,27.4,19.0,1010.0,False,35.6,246,2.5
98,0 days 01:38:45.360000,27.4,19.0,1010.1,False,35.6,263,1.8
100,0 days 01:40:45.401000,27.4,19.0,1010.1,False,35.3,257,2.8
102,0 days 01:42:45.406000,27.5,19.0,1010.1,False,34.7,248,3.6
103,0 days 01:43:45.391000,27.3,19.0,1010.1,False,34.4,243,3.2
105,0 days 01:45:45.414000,27.1,19.0,1010.2,False,34.1,246,3.2
107,0 days 01:47:45.442000,26.9,20.0,1010.2,False,33.8,256,2.2
108,0 days 01:48:45.452000,26.9,20.0,1010.2,False,33.7,232,2.5
110,0 days 01:50:45.456000,27.0,20.0,1010.1,False,33.5,258,3.2
111,0 days 01:51:45.457000,26.9,20.0,1010.2,False,33.3,254,3.5
113,0 days 01:53:45.456000,26.8,20.0,1010.1,False,33.2,264,2.4
115,0 days 01:55:45.481000,26.8,20.0,1010.1,False,33.0,261,1.8
116,0 days 01:56:45.485000,26.8,20.0,1010.2,False,33.0,239,1.6
118,0 days 01:58:45.503000,26.8,20.0,1010.1,False,32.9,268,2.6
120,0 days 02:00:45.491000,26.8,21.0,1010.2,False,32.7,256,1.2
122,0 days 02:02:45.513000,26.8,20.0,1010.1,False,32.6,279,1.3
123,0 days 02:03:45.516000,26.8,21.0,1010.1,False,32.5,266,1.6
125,0 days 02:05:45.525000,26.8,21.0,1010.2,False,32.3,258,1.2
126,0 days 02:06:45.526000,26.8,20.0,1010.2,False,32.2,201,1.1
128,0 days 02:08:45.534000,26.7,21.0,1010.1,False,32.1,212,1.5
129,0 days 02:09:45.541000,26.7,21.0,1010.1,False,32.1,255,1.2
131,0 days 02:11:45.525000,26.6,20.0,1010.1,False,32.0,267,2.1
133,0 days 02:13:45.559000,26.6,21.0,1010.1,False,31.8,237,2.5
134,0 days 02:14:45.573000,26.5,21.0,1010.1,False,31.7,271,2.1
136,0 days 02:16:45.573000,26.5,21.0,1010.2,False,31.7,265,1.7
137,0 days 02:17:45.574000,26.6,21.0,1010.2,False,31.6,0,1.1
139,0 days 02:19:45.598000,26.5,21.0,1010.2,False,31.6,0,0.9
141,0 days 02:21:45.623000,26.6,21.0,1010.0,False,31.4,256,1.3
142,0 days 02:22:45.619000,26.6,21.0,1010.0,False,31.3,224,1.5
144,0 days 02:24:45.650000,26.5,21.0,1010.1,False,31.2,247,0.6
145,0 days 02:25:45.652000,26.5,21.0,1010.2,False,31.2,265,1.2
147,0 days 02:27:45.664000,26.5,21.0,1010.2,False,31.0,245,1.8
149,0 days 02:29:45.651000,26.5,21.0,1010.3,False,30.7,219,2.6
59,0 days 00:59:45.130000,27.3,18.0,1010.4,False,35.8,249,1.8
61,0 days 01:01:45.117000,27.4,18.0,1010.4,False,35.6,233,2.7
62,0 days 01:02:45.128000,27.4,18.0,1010.4,False,35.5,254,2.9
64,0 days 01:04:45.134000,27.3,18.0,1010.4,False,35.0,258,3.0
66,0 days 01:06:45.188000,27.3,18.0,1010.3,False,34.9,238,2.0
67,0 days 01:07:45.191000,27.3,18.0,1010.3,False,34.9,0,2.4
69,0 days 01:09:45.219000,27.3,18.0,1010.2,False,35.0,207,1.2
70,0 days 01:10:45.225000,27.4,18.0,1010.2,False,35.3,257,2.1
72,0 days 01:12:45.243000,27.5,17.0,1010.3,False,35.4,244,2.8
74,0 days 01:14:45.262000,27.5,18.0,1010.2,False,35.3,252,2.2
76,0 days 01:16:45.263000,27.5,18.0,1010.3,False,35.0,237,1.9
77,0 days 01:17:45.259000,27.6,17.0,1010.2,False,34.6,252,2.7
79,0 days 01:19:45.264000,27.5,18.0,1010.2,False,34.4,239,2.3
81,0 days 01:21:45.267000,27.4,18.0,1010.2,False,34.2,245,2.8
82,0 days 01:22:45.265000,27.3,18.0,1010.2,False,34.1,254,2.8
84,0 days 01:24:45.295000,27.2,18.0,1010.1,False,33.9,234,2.3
86,0 days 01:26:45.324000,27.2,18.0,1010.1,False,34.6,248,2.0
87,0 days 01:27:45.326000,27.2,18.0,1010.1,False,34.7,229,1.6
89,0 days 01:29:45.351000,27.3,19.0,1010.1,False,34.8,188,1.2
91,0 days 01:31:45.367000,27.4,18.0,1010.1,False,35.0,256,2.3
92,0 days 01:32:45.356000,27.4,19.0,1010.1,False,35.2,261,3.0
94,0 days 01:34:45.371000,27.4,18.0,1010.1,False,35.6,242,3.3
96,0 days 01:36:45.379000,27.4,19.0,1010.1,False,35.6,247,2.3
97,0 days 01:37:45.360000,27.4,19.0,1010.0,False,35.6,246,2.5
99,0 days 01:39:45.381000,27.4,19.0,1010.1,False,35.4,260,2.0
101,0 days 01:41:45.402000,27.5,19.0,1010.1,False,35.0,247,3.1
102,0 days 01:42:45.406000,27.5,19.0,1010.1,False,34.7,248,3.6
104,0 days 01:44:45.445000,27.1,19.0,1010.2,False,34.3,241,3.2
105,0 days 01:45:45.414000,27.1,19.0,1010.2,False,34.1,246,3.2
107,0 days 01:47:45.442000,26.9,20.0,1010.2,False,33.8,256,2.2
109,0 days 01:49:45.460000,26.9,20.0,1010.1,False,33.7,245,2.0
